Pharmacy Name,License Number,License Type,License Status,Expiration Date,City,State,County,Zip,LAT,LONG,isGovernment,isSatellite,Facility Type,Specialties,Conditions,Registered Outsourcer,Accreditations,URL
CHINESE HOSPITAL PHARMACY,LSC 100964,Sterile Compounding Pharmacy,CLEAR,2025-07-01,SAN FRANCISCO,CA,SAN FRANCISCO,94133,37.804531,-122.410852,False,False,Medical Facility,,,,,
CHINO VALLEY MEDICAL CENTER,LSC 101386,Sterile Compounding Pharmacy,CLEAR,2025-06-01,CHINO,CA,SAN BERNARDINO,91710,34.004468,-117.684697,False,False,Medical Facility,,,,,
CITRUS PHARMACY,LSC 99560,Sterile Compounding Pharmacy,CLEAR,2025-07-01,REDLANDS,CA,SAN BERNARDINO,92373,34.011953,-117.159699,False,False,Sterile Compounding Pharmacy,Long Term Care,,False,,https://citrusrx.com
CITY OF HOPE CORONA,LSC 101739,Sterile Compounding Pharmacy,CLEAR,2025-12-01,CORONA,CA,RIVERSIDE,92882,33.840451,-117.601961,False,False,Medical Facility,,,,,
CITY OF HOPE DUARTE BRISKIN,SCP 101269,Satellite Compounding Pharmacy,CLEAR,2025-09-01,DUARTE,CA,LOS ANGELES,91010,34.141586,-117.957627,False,True,Medical Facility,,,,,
CITY OF HOPE DUARTE HELFORD2,LSC 101533,Sterile Compounding Pharmacy,CLEAR,2025-09-01,DUARTE,CA,LOS ANGELES,91010,34.141586,-117.957627,False,False,Medical Facility,,,,,
CITY OF HOPE DUARTE HP8,LSC 101942,Sterile Compounding Pharmacy,CLEAR,2025-09-01,DUARTE,CA,LOS ANGELES,91010,34.141586,-117.957627,False,False,Medical Facility,,,,,
CITY OF HOPE DUARTE NW1202,LSC 100323,Sterile Compounding Pharmacy,CLEAR,2025-09-01,DUARTE,CA,LOS ANGELES,91010,34.141586,-117.957627,False,False,Medical Facility,,,,,
CITY OF HOPE DUARTE NW1252,LSC 101532,Sterile Compounding Pharmacy,CLEAR,2025-09-01,DUARTE,CA,LOS ANGELES,91010,34.141586,-117.957627,False,False,Medical Facility,,,,,
CITY OF HOPE ORANGE COUNTY,LSC 101761,Sterile Compounding Pharmacy,CLEAR,2025-07-01,IRVINE,CA,ORANGE,92618,33.666942,-117.732094,False,False,Medical Facility,,,,,
CITY OF HOPE SEACLIFF,LSC 101896,Sterile Compounding Pharmacy,CLEAR,2025-03-01,HUNTINGTON BEACH,CA,ORANGE,92648,33.679010,-118.014603,False,False,Medical Facility,,,,,
CITY OF HOPE SOUTH BAY,LSC 101902,Sterile Compounding Pharmacy,CLEAR,2025-01-27,TORRANCE,CA,LOS ANGELES,90503,33.840398,-118.353715,False,False,Medical Facility,,,,,
CITY OF HOPE UPLAND,LSC 101619,Sterile Compounding Pharmacy,CLEAR,2025-12-01,UPLAND,CA,SAN BERNARDINO,91786,34.105282,-117.662035,False,False,Medical Facility,,,,,
CLINISHARE PHARMACY,LSC 99036,Sterile Compounding Pharmacy,CLEAR,2026-01-01,WEST HILLS,CA,LOS ANGELES,91304,34.224196,-118.632394,False,False,Sterile Compounding Pharmacy,,,False,,https://www.rxless.com/pharmacies/california/westhills/clinishare-pharmacy/23719-Roscoe-Blvd/1477638765
CLOVIS COMMUNITY HOSPITAL PHARMACY - ED SATELLITE,LSC 100300,Sterile Compounding Pharmacy,CLEAR,2025-11-01,CLOVIS,CA,FRESNO,93611,36.825296,-119.680190,False,False,Medical Facility,,,,,
CLOVIS COMMUNITY HOSPITAL PHARMACY - ICU SATELLITE,LSC 100299,Sterile Compounding Pharmacy,CLEAR,2025-11-01,CLOVIS,CA,FRESNO,93611,36.825296,-119.680190,False,False,Medical Facility,,,,,
CLOVIS COMMUNITY HOSPITAL PHARMACY - MAIN PHARMACY,LSC 100298,Sterile Compounding Pharmacy,CLEAR,2025-11-01,CLOVIS,CA,FRESNO,93611,36.825296,-119.680190,False,False,Medical Facility,,,,,
COALINGA REGIONAL MEDICAL CENTER,LSC 101743,Sterile Compounding Pharmacy,CLEAR,2025-09-01,COALINGA,CA,FRESNO,93210,36.197785,-120.422249,False,False,Medical Facility,,,,,
COAST PLAZA HOSPITAL,LSC 101968,Sterile Compounding Pharmacy,CLEAR,2025-05-15,NORWALK,CA,LOS ANGELES,90650,33.906956,-118.082640,False,False,Medical Facility,,,,,
COAST QUALITY PHARMACY LLC D/B/A ANAZAOHEALTH,NSC 100843,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-08-01,TAMPA,FL,,33634,28.009826, -82.547789,False,False,Sterile Compounding Pharmacy,"IV Vitamin Therapy, Pain Management, Weight Management, Hormone Replacement Therapy (HRT), Hair Care, Nuclear Medicine, Anti-Aging, Sexual Health, Aesthetics",,True,LegitScript,https://www.anazaohealth.com
COLLEGE HOSPITAL OF COSTA MESA IV HOOD (BARRIER ISOLATOR) LOCATED,LSC 100000,Sterile Compounding Pharmacy,CLEAR,2025-05-01,COSTA MESA,CA,ORANGE,92627,33.647763,-117.919761,False,False,Medical Facility,,,,,
COLLEGE MEDICAL CENTER,LSC 101699,Sterile Compounding Pharmacy,CLEAR,2025-10-01,LONG BEACH,CA,LOS ANGELES,90806,33.805401,-118.187701,False,False,Medical Facility,,,,,
COMMUNITY CANCER CENTER INFUSION PHARMACY,LSC 101158,Sterile Compounding Pharmacy,CLEAR,2025-07-01,CLOVIS,CA,FRESNO,93611,36.825296,-119.680190,False,False,Medical Facility,,,,,
COMMUNITY HOME INFUSION,LSC 100923,Sterile Compounding Pharmacy,CLEAR,2025-04-01,FRESNO,CA,FRESNO,93710,36.822349,-119.760243,False,False,Infusion Center,,,,,
COMMUNITY HOSPITAL OF HUNTINGTON PARK,LSC 101971,Sterile Compounding Pharmacy,CLEAR,2025-05-15,HUNTINGTON PARK,CA,LOS ANGELES,90255,33.979248,-118.217438,False,False,Medical Facility,,,,,
COMMUNITY HOSPITAL OF SAN BERNARDINO,LSC 101325,Sterile Compounding Pharmacy,CLEAR,2025-02-01,SAN BERNARDINO,CA,SAN BERNARDINO,92411,34.122501,-117.320138,False,False,Medical Facility,,,,,
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,LSC 101771,Sterile Compounding Pharmacy,CLEAR,2025-03-01,MONTEREY,CA,MONTEREY,93940,36.574690,-121.840854,False,False,Medical Facility,,,,,
COMMUNITY MEMORIAL HOSPITAL OF SAN BUENA VENTURA MAIN PHARMACY,LSC 101448,Sterile Compounding Pharmacy,CLEAR,2025-11-01,VENTURA,CA,VENTURA,93003,34.283668,-119.223196,False,False,Medical Facility,,,,,
COMPLETE INFUSION CARE,LSC 100883,Sterile Compounding Pharmacy,CLEAR,2025-03-01,LOS ANGELES,CA,LOS ANGELES,90064,34.037251,-118.423573,False,False,Infusion Center,,,,,
CONSONUS PHARMACY SERVICES CA NORTH LLC,LSC 99535,Sterile Compounding Pharmacy,CLEAR,2025-09-01,VACAVILLE,CA,SOLANO,95688,38.408571,-122.022775,False,False,Medical Facility,,,,,
CONTRA COSTA REG MED CTR OUTPATIENT PHY,LSE 100556,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-09-01,MARTINEZ,CA,CONTRA COSTA,94553,37.993892,-122.136441,True,False,Medical Facility,,,,,
CONTRA COSTA REG MEDICAL CTR HOSPITAL PHARMACY,LSE 100108,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-09-01,MARTINEZ,CA,CONTRA COSTA,94553,37.993892,-122.136441,True,False,Medical Facility,,,,,
CONVERSIO HEALTH,LSC 99934,Sterile Compounding Pharmacy,CLEAR,2025-09-01,SAN LUIS OBISPO,CA,SAN LUIS OBISPO,93401,35.235750,-120.615973,False,False,Medical Facility,,,,,
CORAM CVS/SPECIALTY INFUSION SERVICES,LSC 100385,Sterile Compounding Pharmacy,CLEAR,2025-05-01,ONTARIO,CA,SAN BERNARDINO,91761,34.035602,-117.591528,False,False,Infusion Center,,,,,
CORAM CVS/SPECIALTY INFUSION SERVICES,LSC 100594,Sterile Compounding Pharmacy,CLEAR,2025-05-01,SAN DIEGO,CA,SAN DIEGO,92128,32.999818,-117.071808,False,False,Infusion Center,,,,,
CORAM CVS/SPECIALTY INFUSION SERVICES,NSC 99991,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-05-01,MENDOTA HEIGHTS,MN,,55120,44.874984, -93.152093,False,False,Infusion Center,,,,,
CORAM HEALTHCARE CORPORATION OF NEVADA DBA CORAM CVS/SPECIALTY IN,NSC 100873,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-03-01,HENDERSON,NV,,89014,36.061718,-115.058058,False,False,Infusion Center,,,,,
CORONA REGIONAL MEDICAL CENTER MAIN PHARMACY ON 1ST FLOOR,LSC 100205,Sterile Compounding Pharmacy,CLEAR,2025-05-01,CORONA,CA,RIVERSIDE,92882,33.840451,-117.601961,False,False,Medical Facility,,,,,
"COVETRUS NORTH AMERICA, LLC",NSC 101812,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-05-01,PHOENIX,AZ,,85023,33.635109,-112.093768,False,False,Veterinary Only,,,,,
CPMC MISSION BERNAL CAMPUS PHARMACY,LSC 100494,Sterile Compounding Pharmacy,CLEAR,2025-07-01,SAN FRANCISCO,CA,SAN FRANCISCO,94110,37.750021,-122.415201,False,False,Medical Facility,,,,,
CPMC VAN NESS CAMPUS 5TH FLOOR SATELLITE PHARMACY,LSC 101286,Sterile Compounding Pharmacy,CLEAR,2025-12-01,SAN FRANCISCO,CA,SAN FRANCISCO,94109,37.795388,-122.422453,False,False,Medical Facility,,,,,
CPMC VAN NESS CAMPUS PHARMACY,LSC 101287,Sterile Compounding Pharmacy,CLEAR,2025-12-01,SAN FRANCISCO,CA,SAN FRANCISCO,94109,37.795388,-122.422453,False,False,Medical Facility,,,,,
CRESCENT HEALTHCARE INC DBA CRESCENT HEALTHCARE,LSC 101421,Sterile Compounding Pharmacy,CLEAR,2025-08-01,SANTA FE SPRINGS,CA,LOS ANGELES,90670,33.933565,-118.062611,False,False,Medical Facility,,,,,
CRESCENT HEALTHCARE INC DBA CRESCENT HEALTHCARE,LSC 101420,Sterile Compounding Pharmacy,CLEAR,2025-08-01,SAN DIEGO,CA,SAN DIEGO,92128,32.999818,-117.071808,False,False,Medical Facility,,,,,
CRESCENT HEALTHCARE INC DBA CRESCENT HEALTHCARE,LSC 101419,Sterile Compounding Pharmacy,CLEAR,2025-08-01,HAYWARD,CA,ALAMEDA,94545,37.605905,-122.126873,False,False,Medical Facility,,,,,
CRESCENT HEALTHCARE INC DBA CRESCENT HEALTHCARE,LSC 101422,Sterile Compounding Pharmacy,CLEAR,2025-08-01,RIVERSIDE,CA,RIVERSIDE,92507,33.970847,-117.325120,False,False,Medical Facility,,,,,
CRMC INFUSION CENTER - CLOVIS,LSC 100924,Sterile Compounding Pharmacy,CLEAR,2025-04-01,CLOVIS,CA,FRESNO,93611,36.825296,-119.680190,False,False,Medical Facility,,,,,
CURE STAT RX,LSC 101091,Sterile Compounding Pharmacy,CLEAR,2025-07-01,SAN DIEGO,CA,SAN DIEGO,92121,32.899592,-117.201203,False,False,Sterile Compounding Pharmacy,"IV Vitamin Therapy, Oncology, Hematology, Cardiology, Immunotherapy, Total Parenteral Nutrition (TPN), Chronic Disease, Ophthalmology, Veterinary","Electrolyte Imbalance, Appetite, Infertility",False,"URAC, ACHC, NHIA, PCAB",https://curestatrx.com
CVS/SPECIALTY OR CARELONRX SPECIALTY PHARMACY,NSC 101877,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-03-01,COLUMBIA,MD,,21046,39.173116, -76.842028,False,False,Infusion Center,,,,,
DAMERON HOSPITAL PHARMACY,LSC 100009,Sterile Compounding Pharmacy,CLEAR,2025-10-01,STOCKTON,CA,SAN JOAQUIN,95203,37.952452,-121.329655,False,False,Medical Facility,,,,,
DCRX INFUSION PATIENT CARE AMERICA,NSC 100983,Nonresident Sterile Compounding Pharmacy,CLEAR,2026-01-01,POMPANO BEACH,FL,,33064,26.278502, -80.115300,False,False,Infusion Center,,,,,
DEL'S PHARMACY I,LSC 99812,Sterile Compounding Pharmacy,CLEAR,2025-08-01,RANCHO CUCAMONGA,CA,SAN BERNARDINO,91730,34.100970,-117.578820,False,False,Sterile Compounding Pharmacy,"Long Term Care, Hospice, Total Parenteral Nutrition (TPN)",,False,,https://delspharmacy.com
DESERT REGIONAL MED CTR COMP CANCER CTR,LSC 100424,Sterile Compounding Pharmacy,CLEAR,2025-02-01,PALM SPRINGS,CA,RIVERSIDE,92262,33.860925,-116.566176,False,False,Medical Facility,,,,,
DESERT REGIONAL MEDICAL CENTER - INPATIENT PHARMACY,LSC 101524,Sterile Compounding Pharmacy,CLEAR,2025-02-01,PALM SPRINGS,CA,RIVERSIDE,92262,33.860925,-116.566176,False,False,Medical Facility,,,,,
DESERT REGIONAL MEDICAL CENTER COMPREHENSIVE CANCER CENTER,LSC 101013,Sterile Compounding Pharmacy,CLEAR,2025-03-01,LA QUINTA,CA,RIVERSIDE,92253,33.641767,-116.273943,False,False,Medical Facility,,,,,
DESERT VALLEY HOSPITAL,LSC 101188,Sterile Compounding Pharmacy,CLEAR,2025-07-01,VICTORVILLE,CA,SAN BERNARDINO,92395,34.501472,-117.292048,False,False,Medical Facility,,,,,
DESERT VALLEY HOSPITAL,LSC 99381,Sterile Compounding Pharmacy,CLEAR,2025-07-01,VICTORVILLE,CA,SAN BERNARDINO,92392,34.480247,-117.408184,False,False,Medical Facility,,,,,
DIAMOND DRUGS INC,NSC 101085,Nonresident Sterile Compounding Pharmacy,CLEAR,2026-01-01,INDIANA,PA,,15701,40.628381, -79.150041,False,False,Sterile Compounding Pharmacy,"Long Term Care, Correctional Populations",,False,,https://www.diamondpharmacy.com
DIGNITY HEALTH BAKERSFIELD INFUSION CENTER,LSC 101346,Sterile Compounding Pharmacy,CLEAR,2026-01-01,BAKERSFIELD,CA,KERN,93309,35.342891,-119.064803,False,False,Infusion Center,,,,,
DIGNITY HEALTH BAKERSFIELD INFUSION CENTER,LSC 101586,Sterile Compounding Pharmacy,CLEAR,2026-01-01,BAKERSFIELD,CA,KERN,93309,35.342891,-119.064803,False,False,Infusion Center,,,,,
DIGNITY HEALTH HOME INFUSION SERVICES,LSC 101347,Sterile Compounding Pharmacy,CLEAR,2025-02-01,SANTA MARIA,CA,SANTA BARBARA,93454,34.923013,-120.259463,False,False,Infusion Center,,,,,
DIGNITY HEALTH INFUSION CENTER CAMARILLO,LSC 101337,Sterile Compounding Pharmacy,CLEAR,2025-12-01,CAMARILLO,CA,VENTURA,93010,34.227892,-119.079552,False,False,Infusion Center,,,,,
DIGNITY HEALTH INFUSION CENTER OXNARD,LSC 101339,Sterile Compounding Pharmacy,CLEAR,2025-12-01,OXNARD,CA,VENTURA,93030,34.205247,-119.174092,False,False,Infusion Center,,,,,
DIGNITY HEALTH INFUSION CENTER VENTURA,LSC 101344,Sterile Compounding Pharmacy,CLEAR,2025-12-01,VENTURA,CA,VENTURA,93003,34.283668,-119.223196,False,False,Infusion Center,,,,,
DIGNITY HEALTH MERCY ONCOLOGY CENTER PHARMACY,LSC 101336,Sterile Compounding Pharmacy,CLEAR,2025-02-01,REDDING,CA,SHASTA,96002,40.527834,-122.318749,False,False,Medical Facility,,,,,
DM CLINICAL COLLABORATIONS DBA INFUCARE RX,LSC 101747,Sterile Compounding Pharmacy,CLEAR,2026-01-01,GLENDALE,CA,LOS ANGELES,91021,,,False,False,Medical Facility,,,,,
DOCTORS HOSPITAL OF MANTECA,LSC 99895,Sterile Compounding Pharmacy,CLEAR,2026-01-01,MANTECA,CA,SAN JOAQUIN,95336,37.830267,-121.201020,False,False,Medical Facility,,,,,
DOCTORS HOSPTIAL OF RIVERSIDE,LSC 101289,Sterile Compounding Pharmacy,CLEAR,2025-11-01,RIVERSIDE,CA,RIVERSIDE,92503,33.882579,-117.442303,False,False,Medical Facility,,,,,
DOCTORS MEDICAL CENTER OF MODESTO,LSC 101457,Sterile Compounding Pharmacy,CLEAR,2026-01-01,MODESTO,CA,STANISLAUS,95350,37.671978,-121.007405,False,False,Medical Facility,,,,,
DOMINICAN HOSPITAL INFUSION CENTER,LSC 101334,Sterile Compounding Pharmacy,CLEAR,2025-02-01,SANTA CRUZ,CA,SANTA CRUZ,95065,37.031475,-121.983340,False,False,Medical Facility,,,,,
DOMINICAN HOSPITAL PHARMACY,LSC 101294,Sterile Compounding Pharmacy,CLEAR,2025-02-01,SANTA CRUZ,CA,SANTA CRUZ,95065,37.031475,-121.983340,False,False,Medical Facility,,,,,
DWAYNE'S FRIENDLY PHARMACY,LSC 99068,Sterile Compounding Pharmacy,CLEAR,2025-11-01,BISHOP,CA,INYO,93514,37.492115,-118.390408,False,False,Sterile Compounding Pharmacy,,,False,,https://dwaynespharmacy.com
DYNAMIC RX LABS LLC,NSC 101943,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-07-01,RENTON,WA,,98057,47.472020,-122.221900,False,False,Sterile Compounding Pharmacy,"IV Vitamin Therapy, Weight Loss, Hormone Replacement Therapy (HRT), Hair Care, Sexual Health","Erectile Dysfunction, Premature Ejaculation",False,LegitScript,https://dynamicrxlabs.com
EARL & LORAINE MILLER CHILDRENS HOSPITAL,LSC 100998,Sterile Compounding Pharmacy,CLEAR,2025-08-01,LONG BEACH,CA,LOS ANGELES,90806,33.805401,-118.187701,False,False,Medical Facility,,,,,
EAST LOS ANGELES DOCTORS HOSPITAL,LSC 101970,Sterile Compounding Pharmacy,CLEAR,2025-05-15,LOS ANGELES,CA,LOS ANGELES,90023,34.022502,-118.199613,False,False,Medical Facility,,,,,
EDEN MEDICAL CENTER,LSC 100963,Sterile Compounding Pharmacy,CLEAR,2025-06-01,CASTRO VALLEY,CA,ALAMEDA,94546,37.714509,-122.079542,False,False,Medical Facility,,,,,
EISENHOWER MEDICAL CENTER - HOSPITAL LOWER LEVEL,LSC 100388,Sterile Compounding Pharmacy,CLEAR,2026-01-01,RANCHO MIRAGE,CA,RIVERSIDE,92270,33.768584,-116.429988,False,False,Medical Facility,,,,,
EISENHOWER MEDICAL CENTER - LUCY CURCI PHARMACY,LSC 100389,Sterile Compounding Pharmacy,CLEAR,2026-01-01,RANCHO MIRAGE,CA,RIVERSIDE,92270,33.768584,-116.429988,False,False,Medical Facility,,,,,
EISENHOWER MEDICAL CENTER YUCCA VALLEY,LSC 100598,Sterile Compounding Pharmacy,CLEAR,2025-10-01,YUCCA VALLEY,CA,SAN BERNARDINO,92284,34.185894,-116.432416,False,False,Medical Facility,,,,,
EL CAMINO HOSPITAL - LOS GATOS,LSC 100314,Sterile Compounding Pharmacy,CLEAR,2025-06-01,LOS GATOS,CA,SANTA CLARA,95032,37.216953,-121.926555,False,False,Medical Facility,,,,,
EL CAMINO HOSPITAL CANCER CENTER,LSC 100752,Sterile Compounding Pharmacy,CLEAR,2025-03-01,MOUNTAIN VIEW,CA,SANTA CLARA,94040,37.380566,-122.085293,False,False,Medical Facility,,,,,
EL CAMINO HOSPITAL LOS GATOS CANCER CENTER,LSC 101394,Sterile Compounding Pharmacy,CLEAR,2025-07-01,LOS GATOS,CA,SANTA CLARA,95032,37.216953,-121.926555,False,False,Medical Facility,,,,,
EL CAMINO HOSPITAL PHARMACY,LSC 101878,Sterile Compounding Pharmacy,CLEAR,2025-03-01,MOUNTAIN VIEW,CA,SANTA CLARA,94040,37.380566,-122.085293,False,False,Medical Facility,,,,,
EL CAMINO HOSPITAL PHARMACY COMPOUNDING ROOM GB 512,LSC 100313,Sterile Compounding Pharmacy,CLEAR,2025-03-01,MOUNTAIN VIEW,CA,SANTA CLARA,94040,37.380566,-122.085293,False,False,Medical Facility,,,,,
EL CAMINO HOSPITAL- LOS GATOS,LSC 101874,Sterile Compounding Pharmacy,CLEAR,2025-06-01,LOS GATOS,CA,SANTA CLARA,95032,37.216953,-121.926555,False,False,Medical Facility,,,,,
EL CENTRO REGIONAL MEDICAL CENTER PHARMACY,LSE 100226,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-09-01,EL CENTRO,CA,IMPERIAL,92243,32.770197,-115.598590,True,False,Medical Facility,,,,,
EL CENTRO REGIONAL MEDICAL CENTER PHARMACY ECRMC PHARMACY ONCOLOG,LSE 100702,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-09-01,EL CENTRO,CA,IMPERIAL,92243,32.770197,-115.598590,True,False,Medical Facility,,,,,
EL CENTRO REGIONAL MEDICAL CENTER PHY,LSE 101879,Sterile Compounding Pharmacy (Government Owned),CLEAR,2025-09-01,EL CENTRO,CA,IMPERIAL,92243,32.770197,-115.598590,True,False,Medical Facility,,,,,
ELEVARE SPECIALTY SERVICES,LSC 99946,Sterile Compounding Pharmacy,CLEAR,2025-06-01,GLENDALE,CA,LOS ANGELES,91201,34.170510,-118.289463,False,False,Infusion Center,,,,,
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,LSC 100158,Sterile Compounding Pharmacy,CLEAR,2025-08-01,GLENDORA,CA,LOS ANGELES,91741,34.156529,-117.841605,False,False,Medical Facility,,,,,
EMANATE HEALTH INTER-COMMUNITY MAIN PHARMACY (BASEMENT),LSC 100010,Sterile Compounding Pharmacy,CLEAR,2025-07-01,COVINA,CA,LOS ANGELES,91723,34.084747,-117.886844,False,False,Medical Facility,,,,,
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,LSC 101850,Sterile Compounding Pharmacy,CLEAR,2025-07-01,WEST COVINA,CA,LOS ANGELES,91790,34.066964,-117.937007,False,False,Medical Facility,,,,,
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL MAIN PHARMACY BASEMEN,LSC 100055,Sterile Compounding Pharmacy,CLEAR,2025-07-01,WEST COVINA,CA,LOS ANGELES,91790,34.066964,-117.937007,False,False,Medical Facility,,,,,
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL ROOM 249,LSC 100056,Sterile Compounding Pharmacy,CLEAR,2025-07-01,WEST COVINA,CA,LOS ANGELES,91790,34.066964,-117.937007,False,False,Medical Facility,,,,,
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL ROOM 250,LSC 101263,Sterile Compounding Pharmacy,CLEAR,2025-07-01,WEST COVINA,CA,LOS ANGELES,91790,34.066964,-117.937007,False,False,Medical Facility,,,,,
EMANUEL MEDICAL CENTER,LSC 100633,Sterile Compounding Pharmacy,CLEAR,2025-08-01,TURLOCK,CA,STANISLAUS,95382,37.528476,-120.853313,False,False,Medical Facility,,,,,
EMANUEL SPECIALTY CLINIC MEDICAL ONCOLOGY PHARMACY,LSC 101046,Sterile Compounding Pharmacy,CLEAR,2025-06-01,TURLOCK,CA,STANISLAUS,95382,37.528476,-120.853313,False,False,Medical Facility,,,,,
ENCINO HOSPITAL MEDICAL CENTER PHARMACY,LSC 101222,Sterile Compounding Pharmacy,CLEAR,2025-08-01,ENCINO,CA,LOS ANGELES,91436,34.149588,-118.489708,False,False,Medical Facility,,,,,
ENCINO PHARMACY,LSC 99212,Sterile Compounding Pharmacy,CLEAR,2025-04-01,ENCINO,CA,LOS ANGELES,91316,34.160236,-118.515472,False,False,Sterile Compounding Pharmacy,,,False,,https://www.encinopharmacy.com
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,LSC 100344,Sterile Compounding Pharmacy,CLEAR,2025-07-01,BAKERSFIELD,CA,KERN,93309,35.342891,-119.064803,False,False,Medical Facility,,,,,
ENLOE MEDICAL CENTER,LSC 100256,Sterile Compounding Pharmacy,CLEAR,2025-11-01,CHICO,CA,BUTTE,95926,39.745628,-121.843834,False,False,Medical Facility,,,,,
ENLOE MEDICAL CENTER CANCER CENTER,LSC 100384,Sterile Compounding Pharmacy,CLEAR,2025-04-01,CHICO,CA,BUTTE,95926,39.745628,-121.843834,False,False,Medical Facility,,,,,
ENOVEX PHARMACY,LSC 101443,Sterile Compounding Pharmacy,CLEAR,2025-11-01,GLENDALE,CA,LOS ANGELES,91202,34.168366,-118.267771,False,False,Sterile Compounding Pharmacy,"Pain Management, Hormone Replacement Therapy (HRT), Veterinary, Dermatology",Arthritis,False,"PCAB, PCCA, A4PC",https://enovexrx.com
FAIRCHILD MEDICAL CENTER PHARMACY,LSC 100109,Sterile Compounding Pharmacy,CLEAR,2025-07-01,YREKA,CA,SISKIYOU,96097,41.756147,-122.659466,False,False,Medical Facility,,,,,
FIRESIDE PHARMACY,LSC 99523,Sterile Compounding Pharmacy,CLEAR,2025-02-01,PALM DESERT,CA,RIVERSIDE,92260,33.708012,-116.403627,False,False,Sterile Compounding Pharmacy,"IV Vitamin Therapy, Hormone Replacement Therapy (HRT), Sexual Health, Weight Loss, Anti-Aging, Dentistry, Dermatology, Ear, Nose, and Throat, Pain Management, Palliative Care, Pediatrics, Podiatry, Sports Medicine, Veterinary, Wound Care",Erectile Dysfunction,False,PCCA,https://firesidepharmacy.com
FIRST CALL PHARMACY LLC,NSC 100748,Nonresident Sterile Compounding Pharmacy,CLEAR,2025-12-01,KENNER,LA,,70062,29.991693, -90.258179,False,False,Infusion Center,,,,,
FOOTHILL REGIONAL MEDICAL CENTER,LSC 101801,Sterile Compounding Pharmacy,CLEAR,2025-01-27,TUSTIN,CA,ORANGE,92780,33.734005,-117.819163,False,False,Medical Facility,,,,,
FRENCH HOSPITAL MEDICAL CENTER FIRST FLOOR,LSC 101292,Sterile Compounding Pharmacy,CLEAR,2026-01-01,SAN LUIS OBISPO,CA,SAN LUIS OBISPO,93401,35.235750,-120.615973,False,False,Medical Facility,,,,,
FRESNO COMM MED CTR,LSC 101233,Sterile Compounding Pharmacy,CLEAR,2025-04-01,FRESNO,CA,FRESNO,93721,36.732891,-119.783739,False,False,Medical Facility,,,,,
"FRESNO COMM MED CTR PHARMACY 4TH FLOOR, 10-STORY BLDG, NEONATAL I",LSC 100135,Sterile Compounding Pharmacy,CLEAR,2025-04-01,FRESNO,CA,FRESNO,93721,36.732891,-119.783739,False,False,Medical Facility,,,,,
"FRESNO COMM MED CTR PHARMACY 5TH FLOOR, TCCB BLDG, INTENSIVE CARE",LSC 100136,Sterile Compounding Pharmacy,CLEAR,2025-04-01,FRESNO,CA,FRESNO,93721,36.732891,-119.783739,False,False,Medical Facility,,,,,
FRESNO HEART AND SURGICAL HOSPITAL BAKER SG403 & EG4252,LSC 100849,Sterile Compounding Pharmacy,CLEAR,2025-09-01,FRESNO,CA,FRESNO,93720,36.862209,-119.760793,False,False,Medical Facility,,,,,
FRESNO SURGICAL HOSPITAL STERILE PHARMACY 2ND FLOOR,LSC 101429,Sterile Compounding Pharmacy,CLEAR,2026-01-01,FRESNO,CA,FRESNO,93710,36.822349,-119.760243,False,False,Medical Facility,,,,,
GARDEN GROVE HOSPITAL AND MEDICAL CENTER,LSC 101485,Sterile Compounding Pharmacy,CLEAR,2025-08-01,GARDEN GROVE,CA,ORANGE,92843,33.763905,-117.931382,False,False,Medical Facility,,,,,
GARFIELD HOSPITAL MEDICAL CENTER 2ND FLOOR,LSC 101455,Sterile Compounding Pharmacy,CLEAR,2026-01-01,MONTEREY PARK,CA,LOS ANGELES,91754,34.052922,-118.143465,False,False,Medical Facility,,,,,
GLENDALE MEMORIAL HOSPITAL & HEALTH CENTER,LSC 101510,Sterile Compounding Pharmacy,CLEAR,2026-01-01,GLENDALE,CA,LOS ANGELES,91204,34.136194,-118.260934,False,False,Medical Facility,,,,,
GLENN MEDICAL CENTER,LSC 101671,Sterile Compounding Pharmacy,CLEAR,2025-07-01,WILLOWS,CA,GLENN,95988,39.491654,-122.262080,False,False,Medical Facility,,,,,
GMT PHARMACY,SCP 101268,Satellite Compounding Pharmacy,CLEAR,2025-09-01,LA MESA,CA,SAN DIEGO,91942,32.777999,-117.021511,False,True,Medical Facility,,,,,
