Pharmacy Name,License Number,License Type,License Status,Expiration Date,City,State,County,Zip
CRESCENT HEALTHCARE INC DBA CRESCENT HEALTHCARE,LSC 101420,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",SAN DIEGO,California,SAN DIEGO,92128
CRESCENT HEALTHCARE INC DBA CRESCENT HEALTHCARE,LSC 101419,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",HAYWARD,California,ALAMEDA,94545
CRESCENT HEALTHCARE INC DBA CRESCENT HEALTHCARE,LSC 101422,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",RIVERSIDE,California,RIVERSIDE,92507
CRMC INFUSION CENTER - CLOVIS,LSC 100924,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",CLOVIS,California,FRESNO,93611
CURE STAT RX,LSC 101091,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",SAN DIEGO,California,SAN DIEGO,92121
CVS/SPECIALTY OR CARELONRX SPECIALTY PHARMACY,NSC 101877,Nonresident Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",COLUMBIA,Maryland,OUT OF STATE,21046
DAMERON HOSPITAL PHARMACY,LSC 100009,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",STOCKTON,California,SAN JOAQUIN,95203
DCRX INFUSION PATIENT CARE AMERICA,NSC 100983,Nonresident Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",POMPANO BEACH,Florida,OUT OF STATE,33064
DEL'S PHARMACY I,LSC 99812,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",RANCHO CUCAMONGA,California,SAN BERNARDINO,91730
DESERT REGIONAL MED CTR COMP CANCER CTR,LSC 100424,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",PALM SPRINGS,California,RIVERSIDE,92262
DESERT REGIONAL MEDICAL CENTER - INPATIENT PHARMACY,LSC 101524,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",PALM SPRINGS,California,RIVERSIDE,92262
DESERT REGIONAL MEDICAL CENTER COMPREHENSIVE CANCER CENTER,LSC 101013,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",LA QUINTA,California,RIVERSIDE,92253
DESERT VALLEY HOSPITAL,LSC 101188,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",VICTORVILLE,California,SAN BERNARDINO,92395
DESERT VALLEY HOSPITAL,LSC 99381,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",VICTORVILLE,California,SAN BERNARDINO,92392
DIAMOND DRUGS INC,NSC 101085,Nonresident Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",INDIANA,Pennsylvania,OUT OF STATE,15701
DIGNITY HEALTH BAKERSFIELD INFUSION CENTER,LSC 101346,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",BAKERSFIELD,California,KERN,93309
DIGNITY HEALTH BAKERSFIELD INFUSION CENTER,LSC 101586,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",BAKERSFIELD,California,KERN,93309
DIGNITY HEALTH HOME INFUSION SERVICES,LSC 101347,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",SANTA MARIA,California,SANTA BARBARA,93454
DIGNITY HEALTH INFUSION CENTER CAMARILLO,LSC 101337,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",CAMARILLO,California,VENTURA,93010
DIGNITY HEALTH INFUSION CENTER OXNARD,LSC 101339,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",OXNARD,California,VENTURA,93030
DIGNITY HEALTH INFUSION CENTER VENTURA,LSC 101344,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",VENTURA,California,VENTURA,93003
DIGNITY HEALTH MERCY ONCOLOGY CENTER PHARMACY,LSC 101336,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",REDDING,California,SHASTA,96002
DM CLINICAL COLLABORATIONS DBA INFUCARE RX,LSC 101747,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",GLENDALE,California,LOS ANGELES,91021
DOCTORS HOSPITAL OF MANTECA,LSC 99895,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",MANTECA,California,SAN JOAQUIN,95336
DOCTORS HOSPTIAL OF RIVERSIDE,LSC 101289,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",RIVERSIDE,California,RIVERSIDE,92503
DOCTORS MEDICAL CENTER OF MODESTO,LSC 101457,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",MODESTO,California,STANISLAUS,95350
DOMINICAN HOSPITAL INFUSION CENTER,LSC 101334,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",SANTA CRUZ,California,SANTA CRUZ,95065
DOMINICAN HOSPITAL PHARMACY,LSC 101294,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",SANTA CRUZ,California,SANTA CRUZ,95065
DWAYNE'S FRIENDLY PHARMACY,LSC 99068,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BISHOP,California,INYO,93514
DYNAMIC RX LABS LLC,NSC 101943,Nonresident Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",RENTON,Washington,OUT OF STATE,98057
EARL & LORAINE MILLER CHILDRENS HOSPITAL,LSC 100998,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",LONG BEACH,California,LOS ANGELES,90806
EAST LOS ANGELES DOCTORS HOSPITAL,LSC 101970,Sterile Compounding Pharmacy,CLEAR,"May 15, 2025",LOS ANGELES,California,LOS ANGELES,90023
EDEN MEDICAL CENTER,LSC 100963,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",CASTRO VALLEY,California,ALAMEDA,94546
EISENHOWER MEDICAL CENTER - HOSPITAL LOWER LEVEL,LSC 100388,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",RANCHO MIRAGE,California,RIVERSIDE,92270
EISENHOWER MEDICAL CENTER - LUCY CURCI PHARMACY,LSC 100389,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",RANCHO MIRAGE,California,RIVERSIDE,92270
EISENHOWER MEDICAL CENTER YUCCA VALLEY,LSC 100598,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",YUCCA VALLEY,California,SAN BERNARDINO,92284
EL CAMINO HOSPITAL - LOS GATOS,LSC 100314,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",LOS GATOS,California,SANTA CLARA,95032
EL CAMINO HOSPITAL CANCER CENTER,LSC 100752,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",MOUNTAIN VIEW,California,SANTA CLARA,94040
EL CAMINO HOSPITAL LOS GATOS CANCER CENTER,LSC 101394,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",LOS GATOS,California,SANTA CLARA,95032
EL CAMINO HOSPITAL PHARMACY,LSC 101878,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",MOUNTAIN VIEW,California,SANTA CLARA,94040
EL CAMINO HOSPITAL PHARMACY COMPOUNDING ROOM GB 512,LSC 100313,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",MOUNTAIN VIEW,California,SANTA CLARA,94040
EL CAMINO HOSPITAL- LOS GATOS,LSC 101874,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",LOS GATOS,California,SANTA CLARA,95032
EL CENTRO REGIONAL MEDICAL CENTER PHARMACY,LSE 100226,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",EL CENTRO,California,IMPERIAL,92243
EL CENTRO REGIONAL MEDICAL CENTER PHARMACY ECRMC PHARMACY ONCOLOG,LSE 100702,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",EL CENTRO,California,IMPERIAL,92243
EL CENTRO REGIONAL MEDICAL CENTER PHY,LSE 101879,Sterile Compounding Pharmacy (Government Owned),CLEAR,"September 1, 2025",EL CENTRO,California,IMPERIAL,92243
ELEVARE SPECIALTY SERVICES,LSC 99946,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",GLENDALE,California,LOS ANGELES,91201
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,LSC 100158,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",GLENDORA,California,LOS ANGELES,91741
EMANATE HEALTH INTER-COMMUNITY MAIN PHARMACY (BASEMENT),LSC 100010,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",COVINA,California,LOS ANGELES,91723
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,LSC 101850,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",WEST COVINA,California,LOS ANGELES,91790
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL MAIN PHARMACY BASEMEN,LSC 100055,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",WEST COVINA,California,LOS ANGELES,91790
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL ROOM 249,LSC 100056,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",WEST COVINA,California,LOS ANGELES,91790
EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL ROOM 250,LSC 101263,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",WEST COVINA,California,LOS ANGELES,91790
EMANUEL MEDICAL CENTER,LSC 100633,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",TURLOCK,California,STANISLAUS,95382
EMANUEL SPECIALTY CLINIC MEDICAL ONCOLOGY PHARMACY,LSC 101046,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",TURLOCK,California,STANISLAUS,95382
ENCINO HOSPITAL MEDICAL CENTER PHARMACY,LSC 101222,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",ENCINO,California,LOS ANGELES,91436
ENCINO PHARMACY,LSC 99212,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",ENCINO,California,LOS ANGELES,91316
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BAKERSFIELD,LSC 100344,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",BAKERSFIELD,California,KERN,93309
ENLOE MEDICAL CENTER,LSC 100256,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",CHICO,California,BUTTE,95926
ENLOE MEDICAL CENTER CANCER CENTER,LSC 100384,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",CHICO,California,BUTTE,95926
ENOVEX PHARMACY,LSC 101443,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",GLENDALE,California,LOS ANGELES,91202
FAIRCHILD MEDICAL CENTER PHARMACY,LSC 100109,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",YREKA,California,SISKIYOU,96097
FIRESIDE PHARMACY,LSC 99523,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",PALM DESERT,California,RIVERSIDE,92260
FIRST CALL PHARMACY LLC,NSC 100748,Nonresident Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",KENNER,Louisiana,OUT OF STATE,70062
FOOTHILL REGIONAL MEDICAL CENTER,LSC 101801,Sterile Compounding Pharmacy,CLEAR,"January 27, 2025",TUSTIN,California,ORANGE,92780
FRENCH HOSPITAL MEDICAL CENTER FIRST FLOOR,LSC 101292,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",SAN LUIS OBISPO,California,SAN LUIS OBISPO,93401
FRESNO COMM MED CTR,LSC 101233,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",FRESNO,California,FRESNO,93721
"FRESNO COMM MED CTR PHARMACY 4TH FLOOR, 10-STORY BLDG, NEONATAL I",LSC 100135,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",FRESNO,California,FRESNO,93721
"FRESNO COMM MED CTR PHARMACY 5TH FLOOR, TCCB BLDG, INTENSIVE CARE",LSC 100136,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",FRESNO,California,FRESNO,93721
FRESNO HEART AND SURGICAL HOSPITAL BAKER SG403 & EG4252,LSC 100849,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",FRESNO,California,FRESNO,93720
FRESNO SURGICAL HOSPITAL STERILE PHARMACY 2ND FLOOR,LSC 101429,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",FRESNO,California,FRESNO,93710
GARDEN GROVE HOSPITAL AND MEDICAL CENTER,LSC 101485,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",GARDEN GROVE,California,ORANGE,92843
GARFIELD HOSPITAL MEDICAL CENTER 2ND FLOOR,LSC 101455,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",MONTEREY PARK,California,LOS ANGELES,91754
GLENDALE MEMORIAL HOSPITAL & HEALTH CENTER,LSC 101510,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",GLENDALE,California,LOS ANGELES,91204
GLENN MEDICAL CENTER,LSC 101671,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",WILLOWS,California,GLENN,95988
GMT PHARMACY,SCP 101268,Satellite Compounding Pharmacy,CLEAR,"September 1, 2025",LA MESA,California,SAN DIEGO,91942
GOLETA VALLEY COTTAGE HOSPITAL,LSC 101829,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",SANTA BARBARA,California,SANTA BARBARA,93111
GOOD SAMARITAN HOSPITAL PHARMACY,LSC 100191,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",SAN JOSE,California,SANTA CLARA,95124
"GOOD SAMARITAN HOSPITAL, LP",LSC 101757,Sterile Compounding Pharmacy,CLEAR,"January 25, 2025",BAKERSFIELD,California,KERN,93308
GREATER EL MONTE COMMUNITY HOSPITAL PHARMACY IV ROOM,LSC 99986,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",SOUTH EL MONTE,California,LOS ANGELES,91733
GROSSMONT HOSPITAL PHARMACY HEART & VASCULAR TOWER LEVEL A,LSC 100960,Sterile Compounding Pharmacy,CLEAR,"September 1, 2025",LA MESA,California,SAN DIEGO,91942
HARTLEY MEDICAL CENTER PHARMACY INC,LSC 99011,Sterile Compounding Pharmacy,CLEAR,"May 1, 2025",LONG BEACH,California,LOS ANGELES,90805
HAZEL HAWKINS MEMORIAL HOSPITAL PHARMACY,LSE 100590,Sterile Compounding Pharmacy (Government Owned),CLEAR,"October 1, 2025",HOLLISTER,California,SAN BENITO,95023
HEALDSBURG HOSPITAL,LSC 101658,Sterile Compounding Pharmacy,CLEAR,"January 1, 2026",HEALDSBURG,California,SONOMA,95448
HEALIX INFUSION THERAPY LLC,NSC 101193,Nonresident Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",SUGAR LAND,Texas,OUT OF STATE,77478
HEARTLAND HOME INFUSIONS INC D.B.A HHI INFUSION SERVICES,NSC 100909,Nonresident Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",BURR RIDGE,Illinois,OUT OF STATE,60527
HEMET GLOBAL MEDICAL CENTER FIRST FLOOR PHARMACY,LSC 100132,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",HEMET,California,RIVERSIDE,92543
HENRY MAYO NEWHALL HOSPITAL,LSC 101607,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",VALENCIA,California,LOS ANGELES,91355
HI-DESERT MEDICAL CENTER HOSPITAL PHARMACY,LSC 100865,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",JOSHUA TREE,California,SAN BERNARDINO,92252
HIGHLAND CARE PAVILLION PHARMACY,LSE 100492,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",OAKLAND,California,ALAMEDA,94602
HIGHLAND HOSPITAL PHARMACY,LSE 100402,Sterile Compounding Pharmacy (Government Owned),CLEAR,"August 1, 2025",OAKLAND,California,ALAMEDA,94602
HOAG HOSPITAL IRVINE,LSC 99640,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",IRVINE,California,ORANGE,92618
HOAG INFUSION CENTER PHARMACY,LSC 101000,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",IRVINE,California,ORANGE,92618
HOAG MEMORIAL PRESBYTERIAN PHARMACY,LSC 101810,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",NEWPORT BEACH,California,ORANGE,92658
HOAG MEMORIAL PRESBYTERIAN PHARMACY,LSC 99926,Sterile Compounding Pharmacy,CLEAR,"October 1, 2025",NEWPORT BEACH,California,ORANGE,92663
HOPEWELL PHARMACY,NSC 101356,Nonresident Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",HOPEWELL,New Jersey,OUT OF STATE,08525
HOSPICARE PHARMACY INLAND EMPIRE,LSC 101163,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",PERRIS,California,RIVERSIDE,92571
HOSPICARE PHARMACY LOS ANGELES IV ROOM,LSC 101361,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",BURBANK,California,LOS ANGELES,91505
HUNTINGTON BEACH HOSPITAL,LSC 101475,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",HUNTINGTON BEACH,California,ORANGE,92647
HUNTINGTON HOSPITAL MAIN PHARMACY IV ROOM GROUND FLOOR,LSC 101636,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",PASADENA,California,LOS ANGELES,91105
HUNTINGTON HOSPITAL PEDIATRIC SATELLITE 1ST FLOOR,LSC 101635,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",PASADENA,California,LOS ANGELES,91105
HYGEIA LTC PHARMACY,LSC 100816,Sterile Compounding Pharmacy,CLEAR,"July 1, 2025",MONTEREY PARK,California,LOS ANGELES,91754
IMPRIMISRX,NSC 101151,Nonresident Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",LEDGEWOOD,New Jersey,OUT OF STATE,07852
INFUSERVE AMERICA INC,NSC 99521,Nonresident Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAINT PETERSBURG,Florida,OUT OF STATE,33716
INFUSION CARE PHARMACY NORTH,LSC 99887,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",LONG BEACH,California,LOS ANGELES,90806
INFUSION CENTER OF ARROYO GRANDE,LSC 101384,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",ARROYO GRANDE,California,SAN LUIS OBISPO,93420
INFUSION CENTER OF SAN LUIS OBISPO,LSC 101350,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",SAN LUIS OBISPO,California,SAN LUIS OBISPO,93401
INFUSION CONNECTIONS PHARMACY SERVICES INC,LSC 99704,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",SANTA MONICA,California,LOS ANGELES,90404
INFUSIONRX,LSC 101276,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",VENTURA,California,VENTURA,93003
INLAND VALLEY MEDICAL CENTER MAIN PHARMACY 1ST FLOOR,LSC 100040,Sterile Compounding Pharmacy,CLEAR,"April 1, 2025",WILDOMAR,California,RIVERSIDE,92595
INNOVATIVE COMPOUNDING PHARMACY,LSC 99600,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",FOLSOM,California,SACRAMENTO,95630
INTEGRATED CARE SYSTEMS,LSC 100057,Sterile Compounding Pharmacy,CLEAR,"March 1, 2025",VISALIA,California,TULARE,93291
ISORX RADIOPHARMACY,LSC 99296,Sterile Compounding Pharmacy,CLEAR,"August 1, 2025",RICHMOND,California,CONTRA COSTA,94804
IV LEAGUE,LSC 100532,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",CULVER CITY,California,LOS ANGELES,90230
JOHN F KENNEDY MEMORIAL HOSPITAL,LSC 100571,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",INDIO,California,RIVERSIDE,92201
JOHN MUIR HEALTH INFUSION PHARMACY,LSC 101842,Sterile Compounding Pharmacy,CLEAR,"February 1, 2025",WALNUT CREEK,California,CONTRA COSTA,94598
JOHN MUIR MEDICAL CENTER,LSC 101223,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",WALNUT CREEK,California,CONTRA COSTA,94598
JOHN MUIR MEDICAL CENTER CONCORD,LSC 99894,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",CONCORD,California,CONTRA COSTA,94520
JOHN MUIR MEDICAL CENTER WALNUT CREEK,LSC 99889,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",WALNUT CREEK,California,CONTRA COSTA,94598
JOHN MUIR MEDICAL CENTER WALNUT CREEK PEDIATRIC SATELLITE PHARM,LSC 101453,Sterile Compounding Pharmacy,CLEAR,"December 1, 2025",WALNUT CREEK,California,CONTRA COSTA,94598
JUBILANT DRAXIMAGE INC DBA JUBILANT RADIOPHARMA,LSC 101679,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",LOMA LINDA,California,SAN BERNARDINO,92354
JUBILANT DRAXIMAGE INC DBA JUBILANT RADIOPHARMA,LSC 101800,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",OAKLAND,California,ALAMEDA,94607
JUBILANT DRAXIMAGE INC DBA JUBILANT RADIOPHARMA,LSC 101678,Sterile Compounding Pharmacy,CLEAR,"June 1, 2025",COMMERCE,California,LOS ANGELES,90040
"KABAFUSION, LLC",LSC 101803,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",PLEASANTON,California,ALAMEDA,94588
"KABAFUSION, LLC",LSC 101804,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",CERRITOS,California,LOS ANGELES,90703
KAISER FDN HSP INP DISCHARGE PHY 39A 394,LSC 100263,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN RAFAEL,California,MARIN,94903
KAISER FDN HSP INP DISCHARGE PHY 39A 394,LSC 101830,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN RAFAEL,California,MARIN,94903
KAISER FDN HSP INP DISCHARGE PHY 72A 726,LSC 100255,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FRESNO,California,FRESNO,93720
KAISER FDN HSP INP PHY 12A,LSC 101809,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",RICHMOND,California,CONTRA COSTA,94801
KAISER FDN HSP INP PHY 12A,LSC 100249,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",RICHMOND,California,CONTRA COSTA,94801
KAISER FDN HSP INP PHY 16A,LSC 100257,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FREMONT,California,ALAMEDA,94538
KAISER FDN HSP INP PHY 16A,LSC 101580,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",FREMONT,California,ALAMEDA,94538
KAISER FDN HSP INP PHY 51A,LSC 101675,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",WALNUT CREEK,California,CONTRA COSTA,94596
KAISER FDN HSP INP PHY 51A FL 2 RM 213,LSC 100106,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",WALNUT CREEK,California,CONTRA COSTA,94595
KAISER FDN HSP INP PHY 51A FL 2 RM 23B13,LSC 100107,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",WALNUT CREEK,California,CONTRA COSTA,94595
KAISER FDN HSP INP PHY 60A,LSC 100252,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SACRAMENTO,California,SACRAMENTO,95823
KAISER FDN HSP INP/OUT DIS PHY 63A 634,LSC 100369,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN JOSE,California,SANTA CLARA,95119
KAISER FDN HSP INP/OUT HSP PHY 31A 315,LSC 101820,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN FRANCISCO,California,SAN FRANCISCO,94115
KAISER FDN HSP INP/OUT HSP PHY 31A 315,LSC 101628,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SAN FRANCISCO,California,SAN FRANCISCO,94115
KAISER FDN HSP INP/OUT HSP PHY 58A 584,LSC 101848,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SANTA ROSA,California,SONOMA,95403
KAISER FDN HSP INP/OUT HSP PHY 58A 584 FL 2 RM N2000,LSC 100085,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SANTA ROSA,California,SONOMA,95403
KAISER FDN HSP INP/OUT PHY 35A-355,LSC 101629,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SOUTH SAN FRANCISCO,California,SAN MATEO,94080
KAISER FDN HSP PHY 21A,LSC 100262,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",VALLEJO,California,SOLANO,94589
KAISER FDN HSP PHY 21A,LSC 101534,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",VALLEJO,California,SOLANO,94589
KAISER FOUND HOSP PHARMACY #49A,LSC 100251,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",MANTECA,California,SAN JOAQUIN,95337
KAISER FOUND HOSPITAL PHARMACY #054,LSC 101433,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",DOWNEY,California,LOS ANGELES,90242
"KAISER FOUND HOSPITAL PHARMACY #054 - FL-1, RM H13R32",LSC 100891,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",DOWNEY,California,LOS ANGELES,90242
KAISER FOUND HOSPITAL PHARMACY #85A,LSC 101418,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",MODESTO,California,STANISLAUS,95356
KAISER FOUND HOSPITAL PHRMCY #57A MAIN PHARMACY,LSC 100088,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",ANTIOCH,California,CONTRA COSTA,94531
KAISER FOUND HOSPITAL PHRMCY #67A,LSC 100253,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",VACAVILLE,California,SOLANO,95688
KAISER FOUND HOSPITAL PHRMCY #67A / 67B,LSC 101630,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",VACAVILLE,California,SOLANO,95688
KAISER FOUND HOSPITAL PHY #58B,LSC 100254,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SANTA ROSA,California,SONOMA,95403
KAISER FOUND HSP PHY #44B FLR 2 RM H2164,LSC 100100,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SANTA CLARA,California,SANTA CLARA,95010
KAISER FOUND HSP PHY #44B FLR 2 RM P2531A,LSC 100101,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SANTA CLARA,California,SANTA CLARA,95010
KAISER FOUND HSP PHY #44B MAIN PHARMACY,LSC 100099,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",SANTA CLARA,California,SANTA CLARA,95010
KAISER FOUNDATION HLTH MOB 2 PHY #686,LSC 99104,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",STOCKTON,California,SAN JOAQUIN,95210
KAISER FOUNDATION HOSPITAL,LSC 101155,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",HARBOR CITY,California,LOS ANGELES,90710
KAISER FOUNDATION HOSPITAL 551,LSC 101482,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BALDWIN PARK,California,LOS ANGELES,91706
KAISER FOUNDATION HOSPITAL 551 - MAIN,LSC 100331,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",BALDWIN PARK,California,LOS ANGELES,91706
KAISER FOUNDATION HOSPITAL IP MAIN PHARMACY,LSC 100482,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOS ANGELES,California,LOS ANGELES,90034
KAISER FOUNDATION HOSPITAL MAIN PHARMACY ROOM  #1047,LSC 100784,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",HARBOR CITY,California,LOS ANGELES,90710
KAISER FOUNDATION HOSPITAL PHARMACY,LSC 100407,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",LOS ANGELES,California,LOS ANGELES,90027
KAISER FOUNDATION HOSPITAL PHARMACY,LSC 101570,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",RIVERSIDE,California,RIVERSIDE,92505
KAISER FOUNDATION HOSPITAL PHARMACY #054 MAIN PHARMACY,LSC 100306,Sterile Compounding Pharmacy,CLEAR,"November 1, 2025",DOWNEY,California,LOS ANGELES,90242
